geoid,idx_row,idx_col,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,tri,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,downhill_fraction,dom_clock_dir,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
57,0,57,32.85430908203125,-96.79353332519531,91.49,19.79,0,0.44,0.03,0,0.22,-0.03,0,"[81.60,101.39]","[0.43,0.46]","[0.23,0.20]",60.1,172.86,0,0,0,0,0,0,0,0.99,-0.73,-0.72,0,0,0,0,,81.6,101.39,,,,,,,,,0.43,0.46,,,,,,,,,0.23,0.2,,,,,,,,
58,0,58,32.85430908203125,-96.79171752929688,92.21,17.94,0,0.47,0.01,0,0.22,-0.01,0,"[83.24,101.18]","[0.47,0.47]","[0.22,0.21]",59.53,172.28,0,0,0,0,0,0,0,0.44,-0.52,0.01,0,0,0,0,,83.24,101.18,,,,,,,,,0.47,0.47,,,,,,,,,0.22,0.21,,,,,,,,
59,0,59,32.85430908203125,-96.78992462158203,92.15,16.63,0,0.48,0.01,0,0.22,-0.01,0,"[83.84,100.46]","[0.48,0.49]","[0.23,0.21]",59.95,172.71,0,0,0,0,0,0,0,0.32,-0.89,-0.28,0,0,0,0,,83.84,100.46,,,,,,,,,0.48,0.49,,,,,,,,,0.23,0.21,,,,,,,,
60,0,60,32.85430908203125,-96.7881088256836,93.24,17.73,0,0.45,0.05,0,0.24,-0.02,0,"[84.37,102.11]","[0.42,0.48]","[0.25,0.23]",61.35,174.1,0,0,0,0,0,0,0,0.93,-0.53,-0.46,0,0,0,0,,84.37,102.11,,,,,,,,,0.42,0.48,,,,,,,,,0.25,0.23,,,,,,,,
61,0,61,32.85430908203125,-96.78633880615234,92.76,18.51,0,0.46,0.05,0,0.22,-0.01,0,"[83.51,102.02]","[0.43,0.48]","[0.22,0.22]",63.37,176.13,0,0,0,0,0,0,0,1.0,-0.31,-0.31,0,0,0,0,,83.51,102.02,,,,,,,,,0.43,0.48,,,,,,,,,0.22,0.22,,,,,,,,
62,0,62,32.85430908203125,-96.78455352783203,92.56,16.67,0,0.49,0.01,0,0.25,-0.02,0,"[84.22,100.90]","[0.48,0.49]","[0.26,0.24]",65.54,178.3,0,0,0,0,0,0,0,0.61,-0.6,-0.2,0,0,0,0,,84.22,100.9,,,,,,,,,0.48,0.49,,,,,,,,,0.26,0.24,,,,,,,,
63,0,63,32.85430908203125,-96.7827377319336,92.49,16.04,0,0.46,0.01,0,0.24,-0.01,0,"[84.46,100.51]","[0.46,0.47]","[0.24,0.23]",67.02,179.77,0,0,0,0,0,0,0,0.65,-0.5,-0.15,0,0,0,0,,84.46,100.51,,,,,,,,,0.46,0.47,,,,,,,,,0.24,0.23,,,,,,,,
64,0,64,32.85430908203125,-96.78093719482422,91.97,17.47,0,0.51,0.01,0,0.26,-0.01,0,"[83.23,100.71]","[0.51,0.51]","[0.27,0.25]",68.17,180.93,0,0,0,0,0,0,0,0.4,-0.46,0.15,0,0,0,0,,83.23,100.71,,,,,,,,,0.51,0.51,,,,,,,,,0.27,0.25,,,,,,,,
65,0,65,32.85430908203125,-96.77912139892578,93.15,19.29,0,0.48,-0.01,0,0.24,-0.02,0,"[83.50,102.79]","[0.48,0.47]","[0.25,0.23]",68.68,181.43,0,0,0,0,0,0,0,-0.41,-0.75,0.4,0,0,0,0,,83.5,102.79,,,,,,,,,0.48,0.47,,,,,,,,,0.25,0.23,,,,,,,,
66,0,66,32.85430908203125,-96.77735137939453,98.59,11.51,0,0.48,0.01,0,0.22,-0.0,0,"[92.84,104.35]","[0.48,0.49]","[0.22,0.22]",70.4,183.15,0,0,0,0,0,0,0,0.63,-0.03,0.34,0,0,0,0,,92.84,104.35,,,,,,,,,0.48,0.49,,,,,,,,,0.22,0.22,,,,,,,,
