geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,elv_rel,elv,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,ls_land_cover,cl_land_cover,terrain_classification,anisotropy,downhill_fraction,dom_angle_deg,dom_dir
52557,30.831933894517228,-105.07075768138739,122.7,7.670000076293945,0.699999988079071,0.1,0.01,0.0,-0.12,0.0,0.0,157.59,1285.15,300.0,300.0,300.0,300.0,300.0,300.0,-0.5440000295639038,-0.48399999737739563,0.5600000023841858,0.265,0.331,0.248,WS,,,0.36978254878144956,0.375,-114.62356478616309,SW
53088,30.831844062988814,-105.07075768138739,122.9,7.71999979019165,0.699999988079071,0.1,0.01,0.0,-0.1,0.01,0.0,155.17,1282.73,300.0,300.0,300.0,300.0,300.0,300.0,-0.5820000171661377,-0.5410000085830688,0.9300000071525574,0.226,0.268,0.007,BN,,,0.5380452978379943,0.25,159.0325840943829,W
53619,30.8317542314604,-105.07075768138739,122.9,7.71999979019165,0.699999988079071,0.1,0.01,0.0,-0.1,0.01,0.0,154.0,1281.56,300.0,300.0,300.0,300.0,300.0,300.0,-0.5820000171661377,-0.5410000085830688,0.9300000071525574,0.226,0.268,0.007,BN,,,0.45898574679841553,0.5,136.03091818542993,NW
54150,30.831664399931988,-105.07075768138739,122.9,7.71999979019165,0.699999988079071,0.1,0.01,0.0,-0.1,0.01,0.0,153.95,1281.51,300.0,300.0,300.0,300.0,300.0,300.0,-0.5820000171661377,-0.5410000085830688,0.9300000071525574,0.226,0.268,0.007,BN,,DSS,0.16263167572986326,0.5,132.4861897638222,NW
54681,30.831574568403575,-105.07075768138739,123.4,7.730000019073486,0.699999988079071,0.1,0.0,0.0,-0.1,0.01,0.0,154.38,1281.94,300.0,300.0,300.0,300.0,300.0,300.0,-0.7319999933242798,-0.335999995470047,0.7630000114440918,0.098,0.515,0.078,BN,,DSS,0.04354423224199535,0.5,152.94940299291434,NW
55212,30.83148473687516,-105.07075768138739,123.4,7.730000019073486,0.699999988079071,0.1,0.0,0.0,-0.1,0.01,0.0,154.82,1282.38,300.0,300.0,300.0,300.0,300.0,300.0,-0.7319999933242798,-0.335999995470047,0.7630000114440918,0.098,0.515,0.078,BN,,DSS,0.03056750982493042,0.5,-116.56505117707142,SW
55743,30.831394905346748,-105.07075768138739,123.4,7.730000019073486,0.699999988079071,0.1,0.0,0.0,-0.1,0.01,0.0,155.11,1282.67,300.0,300.0,300.0,300.0,300.0,300.0,-0.7319999933242798,-0.335999995470047,0.7630000114440918,0.098,0.515,0.078,BN,,DSS,0.010968935472645167,0.625,-132.61405596961293,SW
56274,30.831305073818335,-105.07075768138739,123.25,7.900000095367432,0.7200000286102295,0.1,0.01,0.0,-0.12,0.02,0.0,155.21,1282.77,300.0,300.0,300.0,300.0,300.0,300.0,-0.5019999742507935,-0.19699999690055847,0.7110000252723694,0.311,0.709,0.113,WS,,DSS,0.03194821696165446,0.5,-101.592175410295,S
56805,30.83121524228992,-105.07075768138739,123.25,7.900000095367432,0.7200000286102295,0.1,0.01,0.0,-0.12,0.02,0.0,155.13,1282.69,300.0,300.0,300.0,300.0,300.0,300.0,-0.5019999742507935,-0.19699999690055847,0.7110000252723694,0.311,0.709,0.113,WS,,DSS,0.0488900258362813,0.5,-89.3839400916066,S
57336,30.83112541076151,-105.07075768138739,123.25,7.900000095367432,0.7200000286102295,0.1,0.01,0.0,-0.12,0.02,0.0,154.87,1282.43,300.0,300.0,300.0,300.0,300.0,300.0,-0.5019999742507935,-0.19699999690055847,0.7110000252723694,0.311,0.709,0.113,WS,,DSS,0.05980502005674402,0.5,-73.7676493388506,S
